,Description,Lien,Contrat,Lieu,comptence,Date
0,(150)  Opérateurs Et Opératrices De Câblage Automobile,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978100/display,CDI,CASA-BEN MSIK,[],"Si votre profil corresponds au descriptif du poste, postulez online et déposez votre cv+cin à l’agence benmsik"
1,(1)  CUISINER DE CANTINE,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978375/display,JERADA,,"['Préparer les denrées alimentaires et le matériel nécessaires à la confection et la cuisson des plats du jour et de la carte du restaurant,', 'Réaliser les différentes opérations de préparation et de cuisson des mets dont il est chargé. Effectuer la mise en place,', 'Nettoyer et ranger le poste de travail,', 'Réaliser et fournir les plats selon les commandes des clients. Effectuer le service,']",JERADA
2,(50)   Opérateur Sur Machine Mécanisée1 De Câblage,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978079/display,CI,MIDELT,[],Lieu de travail: Ain Sebaa
3,(1)  Vendeuse En Pharmacie (F),http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978334/display,CI,EL JADIDA,[],Vendeur/Vendeuse
4,(5)  Hôte Hôtesse De Caisse,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978290/display,CI,SLE-AL JADIDA,[],Caissier
5,(1)  Conducteur De Travaux,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978178/display,BERRECHID,(2 ans - 3 ans),"['Préparer le chantier et en faire réaliser les plans d’installation.,', ""Planifier et suivre la réalisation des travaux tous corps d'état.,"", 'Rédiger ou faire rédiger les attachements en vue de l’établissement des factures.,', 'Renseigner les documents de gestion du chantier et assurer le respect des budgets.,', 'Préparer, assister ou animer les rendez-vous de chantier hebdomadaires et rendre compte à sa hiérarchie.,']",Conducteur des travaux bâtiment TCE (tous corps d'état)
6,(1)  SOUDEUR,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978378/display,CI,JERADA,[],Tou
7,(1)  JARDINIER,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978376/display,CI,JERADA,[],JERADA
8,(1)   Téléconseiller,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/977971/display,CI,SALE,[],BAC OU BAC+
9,"(5)  Préparation, Dégraissage Et Décapage Des Pièces à Souder. Choix De La Technique De Soudure Indiquée Par Les Documents Techniques. Réglage Des Paramètres De Soudage. Nettoyage, Contrôle Et Polissage De",http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978127/display,CDD,SETTAT,[],"Préparation, dégraissage et décapage des pièces à souder. Choix de la technique de soudure indiquée par les documents techniques. Réglage des paramètres de soudage. Nettoyage, contrôle et polissage de la soudure. Opérations de reprise ou de finition."
10,(1)  Ouvrier Menuiserie Montage Des Meubles-charge-décharge.,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978033/display,CI,MEKNES,[],Manutentionnaire (transport logistique)
11,(1)  Secrétaire,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978022/display,CDI,TAROUDANT,[],"Word,"
12,(4)  Chauffeur Permis D Bac Ou Diplôme De La Formation Professionnelle,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978306/display,CI,EL JADIDA UNIVERSITE CHOUAIB DOUKKALI,[],Chauffeur permis D Bac ou diplôme de la formation professionnelle
13,(6)  Aide Cuisiner,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978128/display,KENITRA,(1 an - 2 ans),"['Nettoyer et ranger le poste de travail,']",Cuisinier
14,(2)  Aide Comptable,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978094/display,CI,TAROUDANT,[],Aide comptable
15,(6)   Enseignant Des écoles,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/977995/display,CI,NADOR,[],NADOR
16,(1)  CUISINER DE CANTINE,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978375/display,JERADA,,"['Préparer les denrées alimentaires et le matériel nécessaires à la confection et la cuisson des plats du jour et de la carte du restaurant,', 'Réaliser les différentes opérations de préparation et de cuisson des mets dont il est chargé. Effectuer la mise en place,', 'Nettoyer et ranger le poste de travail,', 'Réaliser et fournir les plats selon les commandes des clients. Effectuer le service,']",JERADA
17,(50)   Opérateur Sur Machine Mécanisée1 De Câblage,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978079/display,CI,MIDELT,[],Lieu de travail: Ain Sebaa
18,(1)  Vendeuse En Pharmacie (F),http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978334/display,CI,EL JADIDA,[],Vendeur/Vendeuse
19,(5)  Hôte Hôtesse De Caisse,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978290/display,CI,SLE-AL JADIDA,[],Caissier
20,(1)  Conducteur De Travaux,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978178/display,BERRECHID,(2 ans - 3 ans),"['Préparer le chantier et en faire réaliser les plans d’installation.,', ""Planifier et suivre la réalisation des travaux tous corps d'état.,"", 'Rédiger ou faire rédiger les attachements en vue de l’établissement des factures.,', 'Renseigner les documents de gestion du chantier et assurer le respect des budgets.,', 'Préparer, assister ou animer les rendez-vous de chantier hebdomadaires et rendre compte à sa hiérarchie.,']",Conducteur des travaux bâtiment TCE (tous corps d'état)
21,(1)  SOUDEUR,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978378/display,CI,JERADA,[],Tou
22,(1)  JARDINIER,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978376/display,CI,JERADA,[],JERADA
23,(1)   Téléconseiller,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/977971/display,CI,SALE,[],BAC OU BAC+
24,"(5)  Préparation, Dégraissage Et Décapage Des Pièces à Souder. Choix De La Technique De Soudure Indiquée Par Les Documents Techniques. Réglage Des Paramètres De Soudage. Nettoyage, Contrôle Et Polissage De",http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978127/display,CDD,SETTAT,[],"Préparation, dégraissage et décapage des pièces à souder. Choix de la technique de soudure indiquée par les documents techniques. Réglage des paramètres de soudage. Nettoyage, contrôle et polissage de la soudure. Opérations de reprise ou de finition."
25,(1)  Ouvrier Menuiserie Montage Des Meubles-charge-décharge.,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978033/display,CI,MEKNES,[],Manutentionnaire (transport logistique)
26,(1)  Secrétaire,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978022/display,CDI,TAROUDANT,[],"Word,"
27,(4)  Chauffeur Permis D Bac Ou Diplôme De La Formation Professionnelle,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978306/display,CI,EL JADIDA UNIVERSITE CHOUAIB DOUKKALI,[],Chauffeur permis D Bac ou diplôme de la formation professionnelle
28,(6)  Aide Cuisiner,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978128/display,KENITRA,(1 an - 2 ans),"['Nettoyer et ranger le poste de travail,']",Cuisinier
29,(2)  Aide Comptable,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/978094/display,CI,TAROUDANT,[],Aide comptable
